number,company,symbol,ytd_return
289,KeyCorp,KEY,2.25
290,Snap-on,SNA,2.01
291,Charles River Laboratories,CRL,1.80
292,Amazon,AMZN,1.29
293,Illinois Tool Works,ITW,1.26
294,Match Group,MTCH,1.23
295,Truist Financial,TFC,0.89
296,Verizon,VZ,0.81
297,Allstate,ALL,0.67
298,Paycom,PAYC,0.67
299,PepsiCo,PEP,0.64
300,Extra Space Storage,EXR,0.58
301,Home Depot (The),HD,0.48
302,Darden Restaurants,DRI,0.44
303,Lockheed Martin,LMT,0.35
304,Kinder Morgan,KMI,0.17
305,Domino's,DPZ,0.13
306,Otis Worldwide,OTIS,-0.16
307,Gen Digital,GEN,-0.34
308,Sherwin-Williams,SHW,-0.37
309,Fifth Third Bancorp,FITB,-0.44
310,U.S. Bancorp,USB,-0.48
311,Lowe's,LOW,-0.56
312,Iron Mountain,IRM,-0.69
313,Roper Technologies,ROP,-0.71
314,Assurant,AIZ,-0.78
315,Union Pacific Corporation,UNP,-0.78
316,News Corp (Class B),NWS,-1.47
317,J.B. Hunt,JBHT,-1.62
318,Arthur J. Gallagher & Co.,AJG,-1.64
319,Las Vegas Sands,LVS,-1.67
320,Public Service Enterprise Group,PEG,-1.68
321,Airbnb,ABNB,-1.69
322,CF Industries,CF,-2.18
323,Huntington Bancshares,HBAN,-2.30
324,Devon Energy,DVN,-2.31
325,Regency Centers,REG,-2.37
326,APA Corporation,APA,-2.45
327,Chubb Limited,CB,-2.49
328,GE HealthCare,GEHC,-2.62
329,S&P Global,SPGI,-2.76
330,Automatic Data Processing,ADP,-2.80
331,Lennar,LEN,-2.91
332,Zimmer Biomet,ZBH,-3.03
333,M&T Bank,MTB,-3.14
334,Lamb Weston,LW,-3.14
335,Motorola Solutions,MSI,-3.21
336,Masco,MAS,-3.21
337,SBA Communications,SBAC,-3.25
338,Interpublic Group of Companies (The),IPG,-3.30
339,Digital Realty,DLR,-3.36
340,MetLife,MET,-3.40
341,Everest Group,EG,-3.42
342,Danaher Corporation,DHR,-3.45
343,"BXP, Inc.",BXP,-3.49
344,Best Buy,BBY,-3.51
345,Texas Instruments,TXN,-3.62
346,Marriott International,MAR,-3.66
347,Aon,AON,-4.22
348,Paccar,PCAR,-4.26
349,News Corp (Class A),NWSA,-4.27
350,Biogen,BIIB,-4.36
351,"NVR, Inc.",NVR,-4.58
352,J.M. Smucker Company (The),SJM,-4.60
353,"Workday, Inc.",WDAY,-4.87
354,Arch Capital Group,ACGL,-4.95
355,Host Hotels & Resorts,HST,-5.11
356,MGM Resorts,MGM,-5.11
357,Kimco Realty,KIM,-5.23
